country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
IND,India,JAYPEE SIDHI CEMENT,WRI1020001,155,24.3272,81.3293,Coal,,,,,Jaypee Ltd jccl),Jaypee Ltd jccl),http://www.jalindia.com/subsidiaries.html,WRI,,,,,,,,,,,
IND,India,JEGURUPADU GT,IND0000158,445.674,16.9312,81.86,Gas,,,,2003,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,573.441,666.941,999.65,1030.99,798.381,,Central Electricity Authority,
IND,India,JOG,IND0000159,139.2,14.2273,74.7994,Hydro,,,,1963,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,345.15555,316.7682,286.80875,190.5226,193.4678,,Central Electricity Authority,
IND,India,JOJBERA,IND0000160,427.5,22.7554,86.2491,Coal,Oil,,,2000,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,2692.7,2662.5,1424,1475.8,2482.579897,,Central Electricity Authority,
IND,India,JORETHANG LOOP,IND0000161,96,27.1598,88.2924,Hydro,,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,74.6847,403.60185,403.97995,407.70125,,Central Electricity Authority,
IND,India,JSW RATNAGIRI TPP,IND0000162,1200,17.297,73.212,Coal,Oil,,,2010,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,74.588,6942.29,7645.55,6063.2,6109.93,7352.32,,Central Electricity Authority,
IND,India,Jafrabad Solar Power Plant,WRI1026149,15,20.8772,71.2801,Solar,,,,,Sunkon Energy Private Limited,Sunkon Energy Private Limited,http://www.jinkosolar.com/press_detail_568.html?lan=en,Industry About,,,,,,,,,,,
IND,India,Jamuria Solar Power Plant,WRI1026150,2,23.7162,87.0695,Solar,,,,,West Bengal Energy Development Corporation Limited (WBEDCL),West Bengal Energy Development Corporation Limited (WBEDCL),http://wbpdcl.co.in,Industry About,,,161.12,,,,,,,,
IND,India,Jangi Wind Farm,WRI1026096,91.8,23.2409,70.509,Wind,,,,,,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1342443620.03/view,WRI,,,,,,,,,,,
IND,India,Jangi village wind farm,WRI1026777,10.5,23.208,70.5465,Wind,,,,,Energy Infratech Private Limited,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1279520653.8/view,WRI,,,,,,,,,,,
IND,India,Jeloo Wind Farm,WRI1026099,29.6,26.5255,72.7629,Wind,,,,2004,Energy Infratech Private Limited,CDM,https://cdm.unfccc.int/Projects/DB/BVQI1312546277.77/view,WRI,,,126.54477,183.2989,131.0216,159.0806,220.5517,,Central Electricity Authority,,
IND,India,Jodiya Wind Farm,WRI1026082,33,22.7532,70.3961,Wind,,,,2014,Energy Infratech Private Limited,CDM,https://cdm.unfccc.int/filestorage/d/d/56KO8FQND07Y3H12PBALXWG9MRC4JV.pdf/PDD_-_GMDC_V05.pdf?t=bGh8b2pkZDEwfDAxL3Mrj_s1ZpnXL5ljSdCb,WRI,,,51.11073,191.9753,183.2989,131.0216,159.0806,220.5517,,Central Electricity Authority,
IND,India,K.N. Ram Kaltek Wind Farm,WRI1026339,10.25,21.2261,74.2393,Wind,,,,,K. N. Ram,CDM,https://cdm.unfccc.int/Projects/DB/BVQI1351922842.98/view,WRI,,,0,,,,,,,,
IND,India,KADAMPARI,IND0000166,400,10.4104,77.0435,Hydro,,,,1988,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,7.051,499.9875,410.56685,287.94305,382.4382,432.57625,,Central Electricity Authority,
IND,India,KADANA,IND0000167,240,23.3045,73.8254,Hydro,,,,1994,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,210.47235,288.46045,337.31495,307.3754,236.20305,,Central Electricity Authority,
