country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,John Butters,AUS0000134,144,-42.1548,145.5345,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,587.3741667,636.4144444,490.6994444,373.4716667,737.6419444,571.6463889,,Australia Clean Energy Regulator,
AUS,Australia,Jounama,AUS0000038,14,-35.562,148.3055,Hydro,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Jundee Gold Mine,AUS0000222,21,-26.3712,120.5776,Gas,,,,,Newmount Australia,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,KRC Cogeneration Plant,AUS0000332,4.2,-27.4453,153.1185,Gas,,,,,AGL,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kalamia Sugar Mill,AUS0000160,9,-19.5223,147.4152,Biomass,,,,,Sucrogen (Kalamia) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kalamunda,AUS0000329,1.3,-31.9768,115.9988,Oil,,,,2014,Landfill Gas and Power Pty Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,,0.003333333,0.005,0.005555556,0.001666667,0.021944444,0.005,,Australia Clean Energy Regulator,
AUS,Australia,Kalbarri PV System,AUS0000390,0.02,-27.7152,114.1697,Solar,,,,2013,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,,0.021388889,0.022777778,0.0225,,,,,Australia Clean Energy Regulator,
AUS,Australia,Kalbarri Wind Farm,AUS0000405,1.7,-27.8995,114.1946,Wind,,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,4.647777778,3.732222222,4.205555556,3.840555556,4.008055556,3.158333333,,Australia Clean Energy Regulator,
AUS,Australia,Kalgoorlie (Parkeston),AUS0000188,110,-30.7378,121.5065,Gas,,,,1996,Newmount Australia / Transalta,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,265.2,214.4413889,161.6605556,216.7913889,255.8186111,259.8083333,,Australia Clean Energy Regulator,
AUS,Australia,Kalgoorlie Nickel Smelter,AUS0000209,42,-30.8737,121.4842,Gas,,,,1968,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,3.965,1.568611111,1.871944444,1.766944444,0.343055556,1.411388889,,Australia Clean Energy Regulator,
